No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
361,NTRS,Northern Trust Corporation,21.92B,110.59,-0.14%,7.86B
362,STLD,"Steel Dynamics, Inc.",21.90B,143.83,0.14%,17.90B
363,LDOS,"Leidos Holdings, Inc.",21.88B,163.97,-1.29%,16.28B
364,STE,STERIS plc,21.47B,217.47,0.65%,5.33B
365,FOXA,Fox Corporation,21.33B,46.71,1.21%,14.34B
366,CNP,"CenterPoint Energy, Inc.",21.29B,32.66,0.40%,8.56B
367,INVH,Invitation Homes Inc.,21.27B,34.61,1.32%,2.55B
368,BLDR,"Builders FirstSource, Inc.",21.26B,184.75,-0.63%,16.73B
369,CFG,"Citizens Financial Group, Inc.",21.22B,48.16,0.12%,7.12B
370,STX,Seagate Technology Holdings plc,21.15B,100,-1.63%,7.27B
371,CMS,CMS Energy Corporation,21.06B,70.49,0.06%,7.48B
372,ZBRA,Zebra Technologies Corporation,20.93B,405.75,0.82%,4.66B
373,MKC,"McCormick & Company, Incorporated",20.88B,77.79,-0.03%,6.68B
374,ESS,"Essex Property Trust, Inc.",20.84B,312.84,1.00%,1.75B
375,FOX,Fox Corporation,20.78B,44.36,1.26%,14.34B
376,CLX,The Clorox Company,20.69B,167.15,-0.12%,7.47B
377,FSLR,"First Solar, Inc.",20.62B,192.57,0.13%,3.85B
378,COO,"The Cooper Companies, Inc.",20.60B,103.43,0.77%,3.80B
379,DRI,"Darden Restaurants, Inc.",20.56B,174.98,0.65%,11.42B
380,SMCI,"Super Micro Computer, Inc.",20.54B,35.07,1.86%,14.94B
381,OMC,Omnicom Group Inc.,20.36B,104.35,-0.27%,15.43B
382,IP,International Paper Company,20.28B,58.38,-1.24%,18.64B
383,LH,Labcorp Holdings Inc.,20.25B,242.15,1.43%,12.71B
384,NRG,"NRG Energy, Inc.",20.03B,98.89,-2.24%,28.12B
385,PFG,"Principal Financial Group, Inc.",19.96B,87.28,0.56%,14.07B
386,MAA,"Mid-America Apartment Communities, Inc.",19.82B,165.2,1.25%,2.18B
387,BF-B,Brown-Forman Corporation,19.71B,41.7,0.80%,4.09B
388,CTRA,Coterra Energy Inc.,19.65B,26.68,-0.37%,5.50B
389,LUV,Southwest Airlines Co.,19.41B,32.36,1.25%,27.38B
390,SNA,Snap-on Incorporated,19.39B,369.23,-0.57%,5.10B
391,KEY,KeyCorp,19.35B,19.52,-0.71%,4.85B
392,ARE,"Alexandria Real Estate Equities, Inc.",19.31B,110.52,-1.10%,3.09B
393,JBHT,"J.B. Hunt Transport Services, Inc.",19.19B,190.31,-0.29%,12.24B
394,GEN,Gen Digital Inc.,19.00B,30.84,-0.19%,3.86B
395,L,Loews Corporation,18.96B,87.05,0.58%,17.22B
396,BBY,"Best Buy Co., Inc.",18.93B,88.17,-0.35%,42.23B
397,PODD,Insulet Corporation,18.72B,266.92,0.19%,1.98B
398,BALL,Ball Corporation,18.68B,62.6,0.37%,13.79B
399,FDS,FactSet Research Systems Inc.,18.60B,489.5,-0.30%,2.20B
400,HOLX,"Hologic, Inc.",18.45B,79.44,0.56%,3.99B
401,VRSN,"VeriSign, Inc.",18.42B,191.63,3.49%,1.54B
402,DGX,Quest Diagnostics Incorporated,18.23B,163.32,0.65%,9.54B
403,PNR,Pentair plc,18.00B,108.96,-0.14%,4.09B
404,NI,NiSource Inc.,17.85B,38.25,0.00%,5.29B
405,TRMB,Trimble Inc.,17.69B,72.43,0.08%,3.63B
406,ULTA,"Ulta Beauty, Inc.",17.68B,375.25,4.10%,11.32B
407,GPC,Genuine Parts Company,17.64B,126.87,-0.81%,23.30B
408,TER,"Teradyne, Inc.",17.60B,108.09,-0.89%,2.74B
409,J,Jacobs Solutions Inc.,17.51B,141.21,0.37%,11.50B
410,HRL,Hormel Foods Corporation,17.50B,31.92,0.95%,11.98B
411,IEX,IDEX Corporation,17.50B,231.1,-0.40%,3.19B
412,KIM,Kimco Realty Corporation,17.41B,25.78,1.26%,1.96B
413,MAS,Masco Corporation,17.35B,80.42,-0.36%,7.88B
414,UDR,"UDR, Inc.",17.27B,46.33,0.85%,1.68B
415,ALGN,"Align Technology, Inc.",17.14B,229.66,0.76%,3.96B
416,NWS,News Corporation,17.02B,31.72,-0.91%,10.16B
417,BAX,Baxter International Inc.,17.01B,33.31,1.34%,15.06B
418,EXPD,"Expeditors International of Washington, Inc.",16.97B,121.25,-0.33%,9.92B
419,MOH,"Molina Healthcare, Inc.",16.97B,296.6,-0.08%,37.54B
420,DG,Dollar General Corporation,16.77B,76.26,2.17%,39.68B
421,EG,"Everest Group, Ltd.",16.72B,389,0.91%,16.44B
422,MRNA,"Moderna, Inc.",16.70B,43.39,3.19%,5.08B
423,NWSA,News Corporation,16.51B,29.05,-0.79%,10.16B
424,AVY,Avery Dennison Corporation,16.48B,205.15,0.26%,8.68B
425,LNT,Alliant Energy Corporation,16.32B,63.59,0.39%,3.97B
426,DPZ,"Domino's Pizza, Inc.",16.31B,472.34,-0.12%,4.67B
427,DOC,"Healthpeak Properties, Inc.",15.87B,22.24,-0.36%,2.56B
428,TXT,Textron Inc.,15.78B,85.08,-0.06%,13.98B
429,VTRS,Viatris Inc.,15.78B,13.22,1.07%,15.05B
430,CF,"CF Industries Holdings, Inc.",15.43B,88.66,0.59%,5.98B
431,DLTR,"Dollar Tree, Inc.",15.37B,71.5,3.44%,30.97B
432,AMCR,Amcor plc,15.12B,10.5,1.06%,13.55B
433,JBL,Jabil Inc.,15.05B,133.33,0.46%,28.88B
434,EVRG,"Evergy, Inc.",14.95B,65,0.25%,5.78B
435,NDSN,Nordson Corporation,14.83B,259.36,0.24%,2.66B
436,FFIV,"F5, Inc.",14.66B,250.07,-0.73%,2.82B
437,BXP,"BXP, Inc.",14.61B,82.86,-0.43%,3.34B
438,INCY,Incyte Corporation,14.54B,75.45,0.87%,4.08B
439,POOL,Pool Corporation,14.34B,376.83,-0.45%,5.33B
440,TPR,"Tapestry, Inc.",14.20B,60.92,-0.23%,6.67B
441,RVTY,"Revvity, Inc.",14.15B,116.23,1.01%,2.72B
442,AKAM,"Akamai Technologies, Inc.",14.10B,93.86,0.82%,3.97B
443,EPAM,"EPAM Systems, Inc.",13.94B,245.79,-1.16%,4.64B
444,SWKS,"Skyworks Solutions, Inc.",13.88B,86.8,0.60%,4.18B
445,SWK,"Stanley Black & Decker, Inc.",13.84B,89.77,0.26%,15.38B
446,RL,Ralph Lauren Corporation,13.83B,222.67,-0.26%,6.74B
447,REG,Regency Centers Corporation,13.83B,75.91,1.21%,1.49B
448,CPT,Camden Property Trust,13.75B,127.03,1.01%,1.56B
449,CPB,The Campbell's Company,13.73B,46.07,-1.14%,9.64B
450,DVA,DaVita Inc.,13.58B,165.63,-1.39%,12.67B
451,UHS,"Universal Health Services, Inc.",13.42B,203.5,-1.26%,15.42B
452,PAYC,"Paycom Software, Inc.",13.13B,234.99,-0.53%,1.82B
453,KMX,"CarMax, Inc.",13.11B,84.59,-0.59%,27.68B
454,CAG,"Conagra Brands, Inc.",13.10B,27.45,-0.15%,11.94B
455,APTV,Aptiv PLC,13.05B,55.52,0.43%,19.73B
456,HST,"Host Hotels & Resorts, Inc.",12.88B,18.43,0.66%,5.59B
457,ALB,Albemarle Corporation,12.69B,107.98,1.11%,6.50B
458,JKHY,"Jack Henry & Associates, Inc.",12.69B,173.96,0.50%,2.25B
459,TAP,Molson Coors Beverage Company,12.62B,61.25,-0.26%,11.68B
460,DAY,Dayforce Inc.,12.60B,79.87,0.24%,1.69B
461,SJM,The J. M. Smucker Company,12.56B,118,-1.74%,8.83B
462,SOLV,Solventum Corporation,12.52B,72.48,1.38%,8.22B
463,CHRW,"C.H. Robinson Worldwide, Inc.",12.44B,105.25,-1.04%,17.76B
464,BG,Bunge Global SA,12.41B,88.91,-0.84%,54.50B
465,ALLE,Allegion plc,12.29B,141.41,0.73%,3.72B
466,EMN,Eastman Chemical Company,12.08B,104.23,-0.71%,9.34B
467,TECH,Bio-Techne Corporation,11.98B,75.38,0.68%,1.17B
468,JNPR,"Juniper Networks, Inc.",11.94B,36.07,0.14%,5.03B
469,BEN,"Franklin Resources, Inc.",11.88B,22.68,2.12%,8.48B
470,NCLH,Norwegian Cruise Line Holdings Ltd.,11.84B,26.92,-0.96%,9.36B
471,AIZ,"Assurant, Inc.",11.64B,227.05,-0.71%,11.76B
472,IPG,"The Interpublic Group of Companies, Inc.",11.35B,30.48,-0.49%,9.34B
473,GNRC,Generac Holdings Inc.,11.33B,190.4,-0.97%,4.12B
474,MGM,MGM Resorts International,11.13B,37.37,-0.48%,17.22B
475,CTLT,"Catalent, Inc.",11.07B,61,0.41%,4.42B
476,LW,"Lamb Weston Holdings, Inc.",10.94B,76.71,-0.16%,6.46B
477,PNW,Pinnacle West Capital Corporation,10.75B,94.52,0.77%,5.02B
478,AOS,A. O. Smith Corporation,10.74B,74.1,0.27%,3.89B
479,CRL,"Charles River Laboratories International, Inc.",10.21B,199.59,0.93%,4.06B
480,LKQ,LKQ Corporation,10.17B,39.13,0.33%,14.50B
481,FRT,Federal Realty Investment Trust,10.06B,117.53,1.41%,1.19B
482,WYNN,"Wynn Resorts, Limited",9.98B,91.67,-0.21%,7.13B
483,MKTX,MarketAxess Holdings Inc.,9.87B,261.71,0.26%,811.94M
484,ENPH,"Enphase Energy, Inc.",9.78B,72.36,2.64%,1.25B
485,HSIC,"Henry Schein, Inc.",9.68B,77.66,0.49%,12.50B
486,GL,Globe Life Inc.,9.38B,111.7,0.24%,5.73B
487,AES,The AES Corporation,9.24B,12.99,3.26%,12.28B
488,TFX,Teleflex Incorporated,8.92B,192,0.52%,3.03B
489,HAS,"Hasbro, Inc.",8.91B,63.89,-0.17%,4.32B
490,MHK,"Mohawk Industries, Inc.",8.78B,139.1,-0.59%,10.81B
491,APA,APA Corporation,8.33B,22.52,0.00%,8.96B
492,MOS,The Mosaic Company,8.17B,25.73,1.30%,11.46B
493,MTCH,"Match Group, Inc.",8.16B,32.51,-0.46%,3.49B
494,CZR,"Caesars Entertainment, Inc.",8.13B,38.25,-1.11%,11.27B
495,IVZ,Invesco Ltd.,8.11B,18.04,-0.61%,5.89B
496,CE,Celanese Corporation,7.97B,72.91,0.08%,10.48B
497,WBA,"Walgreens Boots Alliance, Inc.",7.83B,9.06,3.78%,147.66B
498,HII,"Huntington Ingalls Industries, Inc.",7.80B,199.37,0.70%,11.71B
499,BWA,BorgWarner Inc.,7.50B,34.28,0.32%,14.17B
500,FMC,FMC Corporation,7.43B,59.5,-0.78%,4.17B
501,PARA,Paramount Global,7.18B,10.77,1.22%,28.87B
502,QRVO,"Qorvo, Inc.",6.47B,68.4,0.37%,3.95B
503,AMTM,"Amentum Holdings, Inc.",5.81B,23.9,-2.89%,5.81B
