No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
85,ADP,"Automatic Data Processing, Inc.",125.06B,306.92,-0.34%,19.52B
86,LMT,Lockheed Martin Corporation,124.62B,525.75,0.82%,71.30B
87,BMY,Bristol-Myers Squibb Company,120.21B,59.27,0.90%,47.44B
88,VRTX,Vertex Pharmaceuticals Incorporated,119.64B,464.56,-0.54%,10.63B
89,CB,Chubb Limited,117.04B,290.34,0.64%,54.70B
90,NKE,"NIKE, Inc.",116.61B,78.34,0.94%,50.01B
91,UPS,"United Parcel Service, Inc.",115.79B,135.68,0.53%,90.69B
92,GILD,"Gilead Sciences, Inc.",115.17B,92.41,1.16%,28.30B
93,SBUX,Starbucks Corporation,115.09B,101.51,0.82%,36.18B
94,MMC,"Marsh & McLennan Companies, Inc.",114.55B,233.24,0.20%,23.95B
95,BA,The Boeing Company,113.87B,152.4,1.09%,73.29B
96,PLD,"Prologis, Inc.",110.96B,117.8,1.40%,8.24B
97,MDT,Medtronic plc,110.62B,86.27,0.69%,33.00B
98,MU,"Micron Technology, Inc.",108.88B,98.2,-3.54%,25.11B
99,ADI,"Analog Devices, Inc.",107.78B,217.17,-0.86%,9.43B
100,INTC,Intel Corporation,102.00B,23.65,-1.66%,54.25B
101,SHW,The Sherwin-Williams Company,98.88B,393.96,-0.55%,23.05B
102,SO,The Southern Company,98.33B,89.74,0.46%,26.43B
103,AMT,American Tower Corporation,97.80B,209.3,0.63%,11.17B
104,MO,"Altria Group, Inc.",97.71B,57.65,0.10%,20.36B
105,EQIX,"Equinix, Inc.",94.47B,979.1,0.09%,8.15B
106,TT,Trane Technologies plc,93.63B,416.09,-0.73%,19.39B
107,CI,The Cigna Group,93.60B,336.5,0.45%,229.75B
108,ELV,"Elevance Health, Inc.",93.41B,402.75,0.20%,174.02B
109,ICE,"Intercontinental Exchange, Inc.",92.55B,161.19,0.44%,9.16B
110,GEV,GE Vernova Inc.,92.43B,335.33,-1.05%,34.42B
111,LRCX,Lam Research Corporation,92.09B,71.57,-1.54%,15.59B
112,WM,"Waste Management, Inc.",91.70B,228.46,0.44%,21.39B
